FID,SMILES,frequency,org_FID
63,[14*]c1nccs1,2809,94
64,[16*]c1ccc(F)c(F)c1,2732,95
65,[15*]C1CCC12CCOCC2,2649,98
66,[16*]c1ccc2ccccc2c1,2554,99
67,[5*]N1CCC2(CCC2)C1,2540,100
68,[16*]c1c[nH]c2ccccc12,2488,104
69,[9*]n1ncc(=O)c2ccccc21,2454,105
70,[5*]N1CCCNCC1,2415,106
71,[14*]c1cc[nH]n1,2392,107
72,[3*]OC(F)(F)F,2387,109
73,[15*]C1CNC1,2364,110
74,[9*]n1ncc2c(=O)[nH]cnc21,2324,112
75,[10*]N1CC2=C(CNC(=O)N2C)C1=O,2293,113
76,[15*]C1CCC2(CC1)OCCO2,2283,114
77,[5*]N1CCCCCC1,2214,118
78,[13*]C1SCCS1,2198,120
79,[14*]c1ncnc2[nH]ncc12,2196,121
80,[14*]c1cscn1,2187,122
81,[16*]c1cccc([SH](=O)=O)c1,2158,124
82,[5*]N1CC[C@@H](C2CC2)C1,2115,127
83,[5*]N1CC2CCC(C1)O2,2027,130
84,[16*]c1ccc2[nH]c(=O)c(=O)[nH]c2c1,2025,131
